title,city,locality,bhk,areaSqft,floor,totalFloors,ageYears,furnishedStatus,facing,propertyType,listingType,price,verified,hot,sellerName,sellerPhone
"Cozy 1BHK Villa in Viman Nagar","Pune","Viman Nagar","1","919","16","20","","Unfurnished","South-East","Villa","Buy","6653679","true","true","Priya Singh","+91-9765432109"
"Spacious 3BHK Builder Floor in Magarpatta","Pune","Magarpatta","3","1071","3","9","9","Semi-Furnished","East","Builder Floor","Buy","7546163","","true","Sunita Verma","+91-9543210987"
"Cozy 1BHK Apartment in Magarpatta","Pune","Magarpatta","1","700","20","31","19","Unfurnished","North-West","Apartment","Buy","4058859","true","","Rajesh Kumar","+91-9432109876"
"Cozy 1BHK Independent House in Sinhagad Road","Pune","Sinhagad Road","1","600","13","23","23","Unfurnished","South-East","Independent House","Rent","9549","true","","Rajesh Kumar","+91-9432109876"
"Spacious 3BHK Independent House in Kothrud","Pune","Kothrud","3","1475","15","22","15","Furnished","West","Independent House","Buy","9091407","","","Priya Singh","+91-9765432109"
"Spacious 3BHK Independent House in Wakad","Pune","Wakad","3","994","20","32","5","Furnished","North-East","Independent House","Rent","45592","true","","Sunita Verma","+91-9543210987"
"Spacious 3BHK Builder Floor in Sinhagad Road","Pune","Sinhagad Road","3","1456","6","15","16","Furnished","South-East","Builder Floor","Buy","7038624","true","true","Rahul Sharma","+91-9876543210"
"Spacious 3BHK Studio in Viman Nagar","Pune","Viman Nagar","3","1405","19","31","2","Furnished","North-West","Studio","Buy","12307875","true","true","Amit Patel","+91-9654321098"
"Spacious 2BHK Villa in Aundh","Pune","Aundh","2","763","8","22","22","Semi-Furnished","South-East","Villa","Rent","26763","true","true","Rahul Sharma","+91-9876543210"
"Cozy 1BHK Apartment in Baner","Pune","Baner","1","1029","8","17","16","Unfurnished","South-West","Apartment","Buy","5738594","","true","Rahul Sharma","+91-9876543210"
"Spacious 2BHK Studio in Pimple Saudagar","Pune","Pimple Saudagar","2","1356","3","11","4","Furnished","West","Studio","Rent","28022","true","","Sunita Verma","+91-9543210987"
"Spacious 2BHK Independent House in Viman Nagar","Pune","Viman Nagar","2","1160","6","18","23","Unfurnished","East","Independent House","Rent","27031","","","Rahul Sharma","+91-9876543210"
"Spacious 3BHK Apartment in Shivajinagar","Pune","Shivajinagar","3","1353","2","4","5","Unfurnished","South-West","Apartment","Buy","10508479","","","Rajesh Kumar","+91-9432109876"
"Luxurious 4BHK Apartment in Pimple Saudagar","Pune","Pimple Saudagar","4","1105","19","20","1","Unfurnished","South-East","Apartment","Rent","46529","true","","Sunita Verma","+91-9543210987"
"Cozy 1BHK Independent House in Kothrud","Pune","Kothrud","1","629","7","11","1","Semi-Furnished","South","Independent House","Rent","12750","true","","Amit Patel","+91-9654321098"
"Spacious 3BHK Independent House in Shivajinagar","Pune","Shivajinagar","3","1403","11","12","13","Furnished","North","Independent House","Rent","53360","","","Sunita Verma","+91-9543210987"
"Spacious 2BHK Apartment in Sinhagad Road","Pune","Sinhagad Road","2","827","11","16","10","Unfurnished","South-West","Apartment","Rent","20709","true","true","Priya Singh","+91-9765432109"
"Luxurious 4BHK Studio in Wakad","Pune","Wakad","4","1903","1","16","22","Unfurnished","East","Studio","Rent","49474","","true","Rahul Sharma","+91-9876543210"
"Luxurious 5BHK Independent House in Shivajinagar","Pune","Shivajinagar","5","1754","4","7","25","Furnished","North-West","Independent House","Rent","83027","true","","Sunita Verma","+91-9543210987"
"Spacious 3BHK Villa in Hadapsar","Pune","Hadapsar","3","1195","20","28","22","Unfurnished","North-East","Villa","Rent","37691","true","true","Rahul Sharma","+91-9876543210"
"Luxurious 5BHK Independent House in Kothrud","Pune","Kothrud","5","2484","","11","4","Semi-Furnished","North","Independent House","Buy","16746703","true","","Rahul Sharma","+91-9876543210"
"Luxurious 5BHK Independent House in Kharadi","Pune","Kharadi","5","1697","2","14","25","Unfurnished","North-East","Independent House","Buy","8014354","true","true","Priya Singh","+91-9765432109"
"Luxurious 5BHK Apartment in Camp","Pune","Camp","5","2518","","2","20","Semi-Furnished","North-East","Apartment","Buy","14364956","","","Sunita Verma","+91-9543210987"
"Cozy 1BHK Builder Floor in Magarpatta","Pune","Magarpatta","1","970","8","16","23","Unfurnished","South-East","Builder Floor","Buy","4939446","true","true","Amit Patel","+91-9654321098"
"Luxurious 5BHK Independent House in Magarpatta","Pune","Magarpatta","5","2160","2","3","18","Furnished","South-East","Independent House","Rent","78077","true","","Amit Patel","+91-9654321098"
"Cozy 1BHK Builder Floor in Kothrud","Pune","Kothrud","1","856","18","18","22","Semi-Furnished","East","Builder Floor","Buy","4753289","","","Priya Singh","+91-9765432109"
"Spacious 2BHK Builder Floor in Sinhagad Road","Pune","Sinhagad Road","2","1083","6","7","11","Unfurnished","South","Builder Floor","Buy","5247270","","true","Amit Patel","+91-9654321098"
"Cozy 1BHK Apartment in Kharadi","Pune","Kharadi","1","685","19","25","3","Unfurnished","North","Apartment","Buy","5054650","","true","Priya Singh","+91-9765432109"
"Spacious 2BHK Builder Floor in Hinjewadi","Pune","Hinjewadi","2","897","4","13","17","Furnished","North-West","Builder Floor","Rent","30123","true","","Priya Singh","+91-9765432109"
"Spacious 3BHK Villa in Camp","Pune","Camp","3","853","","9","25","Furnished","North-East","Villa","Rent","47572","true","","Amit Patel","+91-9654321098"
"Luxurious 5BHK Studio in Magarpatta","Pune","Magarpatta","5","2144","13","18","16","Furnished","North-East","Studio","Buy","13677635","","","Sunita Verma","+91-9543210987"
"Spacious 2BHK Villa in Shivajinagar","Pune","Shivajinagar","2","1049","7","7","22","Unfurnished","North-West","Villa","Rent","29918","","","Amit Patel","+91-9654321098"
"Spacious 3BHK Independent House in Shivajinagar","Pune","Shivajinagar","3","1805","","5","3","Semi-Furnished","South-West","Independent House","Buy","14540273","","","Amit Patel","+91-9654321098"
"Luxurious 5BHK Independent House in Kharadi","Pune","Kharadi","5","2286","18","23","21","Semi-Furnished","East","Independent House","Rent","68231","true","true","Amit Patel","+91-9654321098"
"Spacious 2BHK Builder Floor in Kharadi","Pune","Kharadi","2","702","17","29","3","Furnished","North-West","Builder Floor","Rent","29781","true","","Rahul Sharma","+91-9876543210"
"Spacious 2BHK Independent House in Kharadi","Pune","Kharadi","2","1443","5","8","3","Furnished","South-East","Independent House","Buy","10785517","","","Sunita Verma","+91-9543210987"
"Luxurious 4BHK Independent House in Viman Nagar","Pune","Viman Nagar","4","1217","9","24","14","Semi-Furnished","North-West","Independent House","Rent","63721","","","Priya Singh","+91-9765432109"
"Spacious 2BHK Villa in Magarpatta","Pune","Magarpatta","2","1233","16","16","7","Semi-Furnished","North","Villa","Rent","29824","true","","Rahul Sharma","+91-9876543210"
"Cozy 1BHK Apartment in Paschim Vihar","Delhi","Paschim Vihar","1","657","13","24","19","Semi-Furnished","South-West","Apartment","Buy","5888582","true","true","Sunita Verma","+91-9543210987"
"Spacious 3BHK Studio in Shahdara","Delhi","Shahdara","3","1536","3","15","2","Furnished","North-East","Studio","Buy","17249513","true","true","Sunita Verma","+91-9543210987"
"Spacious 3BHK Independent House in Mayur Vihar","Delhi","Mayur Vihar","3","866","","","3","Unfurnished","North-West","Independent House","Buy","11117259","true","","Rahul Sharma","+91-9876543210"
"Cozy 1BHK Builder Floor in Preet Vihar","Delhi","Preet Vihar","1","692","18","22","6","Semi-Furnished","East","Builder Floor","Buy","8010122","","","Amit Patel","+91-9654321098"
"Spacious 3BHK Studio in Saket","Delhi","Saket","3","1109","17","21","15","Semi-Furnished","North","Studio","Buy","15936886","","","Sunita Verma","+91-9543210987"
"Spacious 2BHK Apartment in South Extension","Delhi","South Extension","2","1263","18","27","1","Unfurnished","West","Apartment","Buy","25493795","true","","Amit Patel","+91-9654321098"
"Spacious 3BHK Independent House in Preet Vihar","Delhi","Preet Vihar","3","903","9","23","3","Unfurnished","South-East","Independent House","Rent","62222","true","","Rahul Sharma","+91-9876543210"
"Spacious 2BHK Villa in Pitampura","Delhi","Pitampura","2","1071","3","15","10","Unfurnished","South","Villa","Buy","11864651","true","true","Rajesh Kumar","+91-9432109876"
"Spacious 2BHK Apartment in Preet Vihar","Delhi","Preet Vihar","2","933","13","17","23","Unfurnished","North-West","Apartment","Rent","41330","","","Rajesh Kumar","+91-9432109876"
"Spacious 3BHK Villa in Vasant Kunj","Delhi","Vasant Kunj","3","851","13","18","23","Semi-Furnished","North","Villa","Rent","90966","","","Sunita Verma","+91-9543210987"
"Spacious 3BHK Builder Floor in South Extension","Delhi","South Extension","3","1717","6","20","25","Semi-Furnished","South-West","Builder Floor","Rent","95233","true","","Amit Patel","+91-9654321098"
"Cozy 1BHK Builder Floor in South Extension","Delhi","South Extension","1","754","18","25","5","Furnished","South-West","Builder Floor","Rent","37334","","","Priya Singh","+91-9765432109"
"Cozy 1BHK Independent House in Pitampura","Delhi","Pitampura","1","643","13","17","5","Unfurnished","North-West","Independent House","Buy","7119861","true","","Sunita Verma","+91-9543210987"
"Spacious 2BHK Studio in Mayur Vihar","Delhi","Mayur Vihar","2","1300","8","23","13","Furnished","North","Studio","Buy","17586126","","","Sunita Verma","+91-9543210987"
"Spacious 2BHK Independent House in Defence Colony","Delhi","Defence Colony","2","887","9","22","8","Semi-Furnished","South-West","Independent House","Buy","19089113","true","","Amit Patel","+91-9654321098"
"Spacious 2BHK Independent House in Uttam Nagar","Delhi","Uttam Nagar","2","1331","13","19","6","Semi-Furnished","North","Independent House","Rent","33761","true","","Rahul Sharma","+91-9876543210"
"Spacious 2BHK Apartment in Pitampura","Delhi","Pitampura","2","1070","5","12","10","Semi-Furnished","West","Apartment","Rent","41082","","true","Priya Singh","+91-9765432109"
"Spacious 2BHK Apartment in Defence Colony","Delhi","Defence Colony","2","1031","20","24","24","Furnished","West","Apartment","Rent","73584","","","Priya Singh","+91-9765432109"
"Luxurious 4BHK Apartment in Janakpuri","Delhi","Janakpuri","4","1917","12","17","6","Furnished","South-West","Apartment","Buy","25550013","true","","Priya Singh","+91-9765432109"
"Spacious 3BHK Villa in Dwarka","Delhi","Dwarka","3","1135","18","30","11","Furnished","South","Villa","Rent","62099","true","","Sunita Verma","+91-9543210987"
"Spacious 2BHK Independent House in Saket","Delhi","Saket","2","1026","","3","1","Semi-Furnished","West","Independent House","Rent","58358","true","true","Sunita Verma","+91-9543210987"
"Spacious 3BHK Studio in Rohini","Delhi","Rohini","3","1797","5","14","18","Unfurnished","North","Studio","Buy","15987869","","","Rajesh Kumar","+91-9432109876"
"Spacious 3BHK Builder Floor in Preet Vihar","Delhi","Preet Vihar","3","1253","17","26","2","Semi-Furnished","North","Builder Floor","Rent","56993","","","Priya Singh","+91-9765432109"
"Spacious 3BHK Builder Floor in Mayur Vihar","Delhi","Mayur Vihar","3","1190","4","16","24","Furnished","West","Builder Floor","Buy","12252687","true","","Rahul Sharma","+91-9876543210"
"Luxurious 4BHK Apartment in Rohini","Delhi","Rohini","4","1743","16","21","10","Semi-Furnished","South","Apartment","Buy","18573939","true","","Rajesh Kumar","+91-9432109876"
"Spacious 3BHK Apartment in Janakpuri","Delhi","Janakpuri","3","984","5","14","23","Semi-Furnished","West","Apartment","Buy","9211125","true","true","Rahul Sharma","+91-9876543210"
"Luxurious 4BHK Builder Floor in Uttam Nagar","Delhi","Uttam Nagar","4","2157","2","10","25","Furnished","North-East","Builder Floor","Buy","18278291","","","Priya Singh","+91-9765432109"
"Spacious 2BHK Independent House in Uttam Nagar","Delhi","Uttam Nagar","2","916","20","27","3","Unfurnished","West","Independent House","Buy","9524789","","","Rahul Sharma","+91-9876543210"
"Spacious 2BHK Apartment in Greater Kailash","Delhi","Greater Kailash","2","993","6","7","13","Semi-Furnished","North-West","Apartment","Buy","18047358","true","","Rajesh Kumar","+91-9432109876"
"Luxurious 5BHK Studio in Lajpat Nagar","Delhi","Lajpat Nagar","5","1355","16","23","4","Furnished","East","Studio","Rent","149937","true","true","Amit Patel","+91-9654321098"
"Spacious 3BHK Studio in Uttam Nagar","Delhi","Uttam Nagar","3","1533","8","9","19","Unfurnished","East","Studio","Buy","12709023","","","Sunita Verma","+91-9543210987"
"Luxurious 5BHK Studio in Uttam Nagar","Delhi","Uttam Nagar","5","2171","6","21","25","Furnished","South-West","Studio","Buy","16033963","true","","Rajesh Kumar","+91-9432109876"
"Luxurious 5BHK Independent House in Shahdara","Delhi","Shahdara","5","2526","3","7","7","Unfurnished","North","Independent House","Buy","23127019","","true","Priya Singh","+91-9765432109"
"Spacious 3BHK Builder Floor in Uttam Nagar","Delhi","Uttam Nagar","3","1295","11","16","1","Furnished","North","Builder Floor","Buy","15289227","","true","Rahul Sharma","+91-9876543210"
"Spacious 3BHK Independent House in South Extension","Delhi","South Extension","3","1472","5","17","4","Furnished","West","Independent House","Rent","114689","true","","Sunita Verma","+91-9543210987"
"Spacious 2BHK Villa in Dwarka","Delhi","Dwarka","2","845","1","6","10","Semi-Furnished","South-East","Villa","Buy","8974214","true","","Priya Singh","+91-9765432109"
"Spacious 3BHK Builder Floor in Lajpat Nagar","Delhi","Lajpat Nagar","3","1386","4","19","12","Furnished","West","Builder Floor","Buy","23374063","true","","Sunita Verma","+91-9543210987"
"Spacious 2BHK Builder Floor in Vasant Kunj","Delhi","Vasant Kunj","2","1067","","8","21","Furnished","North","Builder Floor","Buy","15751047","true","","Rahul Sharma","+91-9876543210"
"Spacious 2BHK Apartment in Saket","Delhi","Saket","2","1238","9","21","22","Semi-Furnished","North-West","Apartment","Buy","16522258","true","","Rahul Sharma","+91-9876543210"
"Luxurious 5BHK Apartment in South Extension","Delhi","South Extension","5","1177","19","29","4","Unfurnished","South","Apartment","Rent","155697","true","","Amit Patel","+91-9654321098"
"Luxurious 4BHK Villa in Pitampura","Delhi","Pitampura","4","1582","2","14","5","Semi-Furnished","North-East","Villa","Buy","18839024","true","","Amit Patel","+91-9654321098"
"Spacious 3BHK Independent House in Pitampura","Delhi","Pitampura","3","1626","18","23","11","Furnished","North-West","Independent House","Buy","20148665","true","","Rahul Sharma","+91-9876543210"
"Luxurious 4BHK Villa in South Extension","Delhi","South Extension","4","2199","15","16","8","Semi-Furnished","South-West","Villa","Rent","124952","true","","Amit Patel","+91-9654321098"
"Spacious 3BHK Villa in Mayur Vihar","Delhi","Mayur Vihar","3","1724","15","16","13","Semi-Furnished","East","Villa","Buy","19381568","true","","Priya Singh","+91-9765432109"
"Cozy 1BHK Independent House in Dwarka","Delhi","Dwarka","1","1067","12","20","23","Unfurnished","North-East","Independent House","Rent","18109","true","","Rahul Sharma","+91-9876543210"
"Spacious 2BHK Studio in Rohini","Delhi","Rohini","2","1017","14","21","","Furnished","West","Studio","Rent","38241","true","","Sunita Verma","+91-9543210987"
"Spacious 2BHK Independent House in Pitampura","Delhi","Pitampura","2","765","2","11","22","Unfurnished","North-West","Independent House","Buy","6919184","true","true","Priya Singh","+91-9765432109"
"Luxurious 4BHK Apartment in Greater Kailash","Delhi","Greater Kailash","4","1166","","11","4","Unfurnished","East","Apartment","Buy","24055153","true","","Priya Singh","+91-9765432109"
"Luxurious 5BHK Independent House in Uttam Nagar","Delhi","Uttam Nagar","5","2032","","14","3","Furnished","North","Independent House","Buy","21595153","","","Rajesh Kumar","+91-9432109876"
"Spacious 3BHK Independent House in Lajpat Nagar","Delhi","Lajpat Nagar","3","1174","20","35","7","Unfurnished","South-West","Independent House","Rent","71022","","","Amit Patel","+91-9654321098"
"Spacious 2BHK Independent House in Shahdara","Delhi","Shahdara","2","1152","16","24","14","Unfurnished","East","Independent House","Buy","10480527","true","true","Rahul Sharma","+91-9876543210"
"Spacious 3BHK Apartment in Saket","Delhi","Saket","3","1715","9","24","2","Furnished","South-East","Apartment","Buy","31863140","","","Sunita Verma","+91-9543210987"
"Luxurious 4BHK Studio in Paschim Vihar","Delhi","Paschim Vihar","4","1675","9","17","10","Unfurnished","South","Studio","Buy","17645468","true","","Rajesh Kumar","+91-9432109876"
"Spacious 3BHK Independent House in Greater Kailash","Delhi","Greater Kailash","3","1408","8","15","18","Semi-Furnished","South-West","Independent House","Rent","100774","true","","Rajesh Kumar","+91-9432109876"
"Luxurious 5BHK Independent House in Mayur Vihar","Delhi","Mayur Vihar","5","2245","5","6","22","Unfurnished","North-West","Independent House","Buy","21337352","true","","Sunita Verma","+91-9543210987"
"Luxurious 4BHK Villa in Paschim Vihar","Delhi","Paschim Vihar","4","2182","5","11","9","Semi-Furnished","North-West","Villa","Buy","23100322","","","Sunita Verma","+91-9543210987"
"Cozy 1BHK Apartment in Shahdara","Delhi","Shahdara","1","674","19","29","7","Unfurnished","North-West","Apartment","Rent","15313","","","Amit Patel","+91-9654321098"
"Spacious 2BHK Apartment in Mayur Vihar","Delhi","Mayur Vihar","2","903","20","23","9","Furnished","North","Apartment","Rent","45345","","","Rajesh Kumar","+91-9432109876"
"Spacious 2BHK Villa in Mayur Vihar","Delhi","Mayur Vihar","2","746","18","25","20","Unfurnished","South-East","Villa","Rent","40913","true","","Rahul Sharma","+91-9876543210"
"Spacious 2BHK Independent House in South Extension","Delhi","South Extension","2","1488","12","19","25","Furnished","West","Independent House","Buy","25037845","","true","Priya Singh","+91-9765432109"
"Luxurious 4BHK Villa in Rohini","Delhi","Rohini","4","1715","19","26","12","Semi-Furnished","North","Villa","Buy","18130779","","","Rahul Sharma","+91-9876543210"
"Spacious 3BHK Builder Floor in Uttam Nagar","Delhi","Uttam Nagar","3","1761","5","13","6","Furnished","South-East","Builder Floor","Buy","17789241","","","Rajesh Kumar","+91-9432109876"
"Luxurious 4BHK Studio in South Extension","Delhi","South Extension","4","1326","6","6","12","Furnished","East","Studio","Rent","132678","","true","Amit Patel","+91-9654321098"
"Luxurious 4BHK Apartment in Dwarka","Delhi","Dwarka","4","1296","15","30","18","Furnished","East","Apartment","Buy","13623691","","true","Rahul Sharma","+91-9876543210"
"Luxurious 4BHK Apartment in Lajpat Nagar","Delhi","Lajpat Nagar","4","1398","5","8","13","Semi-Furnished","North","Apartment","Buy","21665152","","true","Rajesh Kumar","+91-9432109876"
"Spacious 3BHK Independent House in South Extension","Delhi","South Extension","3","1618","10","25","17","Furnished","East","Independent House","Buy","30065377","true","","Amit Patel","+91-9654321098"
"Spacious 3BHK Independent House in Greater Kailash","Delhi","Greater Kailash","3","1815","3","5","15","Semi-Furnished","South","Independent House","Buy","35050245","true","","Rahul Sharma","+91-9876543210"
"Luxurious 4BHK Apartment in Pitampura","Delhi","Pitampura","4","1232","18","33","24","Semi-Furnished","North-West","Apartment","Buy","12433766","true","","Amit Patel","+91-9654321098"
"Spacious 3BHK Apartment in Paschim Vihar","Delhi","Paschim Vihar","3","1704","3","4","8","Furnished","South-West","Apartment","Buy","21105765","true","","Amit Patel","+91-9654321098"
"Spacious 2BHK Villa in Mayur Vihar","Delhi","Mayur Vihar","2","860","7","18","8","Unfurnished","North","Villa","Buy","10584642","true","","Amit Patel","+91-9654321098"
"Spacious 2BHK Independent House in Rohini","Delhi","Rohini","2","1084","1","5","7","Semi-Furnished","West","Independent House","Buy","10630738","true","","Priya Singh","+91-9765432109"
"Cozy 1BHK Independent House in Defence Colony","Delhi","Defence Colony","1","584","11","26","1","Unfurnished","East","Independent House","Buy","13048653","","","Priya Singh","+91-9765432109"
"Cozy 1BHK Villa in Dwarka","Delhi","Dwarka","1","1011","1","3","11","Unfurnished","South-West","Villa","Rent","18461","","","Priya Singh","+91-9765432109"
"Spacious 2BHK Studio in Greater Kailash","Delhi","Greater Kailash","2","1009","2","4","4","Unfurnished","West","Studio","Rent","70372","true","","Rahul Sharma","+91-9876543210"
"Spacious 2BHK Studio in Defence Colony","Delhi","Defence Colony","2","977","","8","9","Unfurnished","North-East","Studio","Rent","71234","","","Amit Patel","+91-9654321098"
"Spacious 2BHK Apartment in Shahdara","Delhi","Shahdara","2","955","7","15","","Unfurnished","South","Apartment","Buy","9348135","true","","Sunita Verma","+91-9543210987"
"Luxurious 5BHK Villa in Preet Vihar","Delhi","Preet Vihar","5","2373","4","4","17","Semi-Furnished","South-West","Villa","Buy","25288247","true","","Sunita Verma","+91-9543210987"
"Cozy 1BHK Villa in Shahdara","Delhi","Shahdara","1","1064","15","27","11","Unfurnished","South-West","Villa","Rent","16491","true","","Rajesh Kumar","+91-9432109876"
"Luxurious 4BHK Studio in South Extension","Delhi","South Extension","4","1324","12","25","21","Unfurnished","South-West","Studio","Buy","19070439","true","","Rahul Sharma","+91-9876543210"
"Cozy 1BHK Villa in South Extension","Delhi","South Extension","1","642","20","31","1","Semi-Furnished","North-West","Villa","Buy","12662169","true","","Sunita Verma","+91-9543210987"
"Spacious 2BHK Independent House in Saket","Delhi","Saket","2","1048","","1","","Unfurnished","North-East","Independent House","Buy","16663463","true","","Rahul Sharma","+91-9876543210"
"Cozy 1BHK Villa in Paschim Vihar","Delhi","Paschim Vihar","1","1029","7","16","24","Semi-Furnished","South","Villa","Rent","20721","","","Amit Patel","+91-9654321098"
"Cozy 1BHK Builder Floor in Rohini","Delhi","Rohini","1","756","12","20","21","Furnished","North","Builder Floor","Buy","6868047","true","","Priya Singh","+91-9765432109"
"Spacious 2BHK Villa in Dwarka","Delhi","Dwarka","2","1332","","15","25","Furnished","South-West","Villa","Buy","11660987","true","","Sunita Verma","+91-9543210987"
"Spacious 2BHK Independent House in Saket","Delhi","Saket","2","795","16","28","25","Unfurnished","South-East","Independent House","Rent","50853","","","Amit Patel","+91-9654321098"
"Spacious 2BHK Studio in Uttam Nagar","Delhi","Uttam Nagar","2","1022","13","21","21","Unfurnished","South-East","Studio","Buy","7314799","true","","Priya Singh","+91-9765432109"
"Spacious 3BHK Apartment in Defence Colony","Delhi","Defence Colony","3","1228","4","19","21","Semi-Furnished","East","Apartment","Buy","20393594","","","Sunita Verma","+91-9543210987"
"Cozy 1BHK Independent House in Janakpuri","Delhi","Janakpuri","1","929","15","21","11","Unfurnished","North-East","Independent House","Rent","18804","","","Priya Singh","+91-9765432109"
"Cozy 1BHK Builder Floor in Dwarka","Delhi","Dwarka","1","989","11","21","14","Unfurnished","South-East","Builder Floor","Buy","10239891","true","","Amit Patel","+91-9654321098"
"Spacious 2BHK Independent House in Vasant Kunj","Delhi","Vasant Kunj","2","799","10","19","10","Unfurnished","North-East","Independent House","Buy","11552204","","true","Priya Singh","+91-9765432109"
"Spacious 3BHK Independent House in Dwarka","Delhi","Dwarka","3","1825","16","28","18","Unfurnished","North","Independent House","Rent","52932","true","","Sunita Verma","+91-9543210987"
"Luxurious 4BHK Builder Floor in Paschim Vihar","Delhi","Paschim Vihar","4","1830","10","13","22","Unfurnished","North-East","Builder Floor","Buy","16495050","","","Priya Singh","+91-9765432109"
"Spacious 2BHK Builder Floor in Preet Vihar","Delhi","Preet Vihar","2","1309","7","8","12","Semi-Furnished","North-East","Builder Floor","Buy","14389288","true","","Rahul Sharma","+91-9876543210"
"Spacious 3BHK Studio in Paschim Vihar","Delhi","Paschim Vihar","3","1080","4","12","14","Unfurnished","South-East","Studio","Buy","10373672","true","","Amit Patel","+91-9654321098"
"Spacious 2BHK Studio in Pitampura","Delhi","Pitampura","2","1061","18","26","18","Unfurnished","North-East","Studio","Buy","10121209","true","","Rajesh Kumar","+91-9432109876"
"Spacious 3BHK Independent House in South Extension","Delhi","South Extension","3","1148","2","6","17","Unfurnished","North-West","Independent House","Buy","17547436","","","Rajesh Kumar","+91-9432109876"
"Spacious 3BHK Builder Floor in Dwarka","Delhi","Dwarka","3","1428","14","19","6","Unfurnished","South-West","Builder Floor","Buy","17006177","","","Sunita Verma","+91-9543210987"
"Spacious 2BHK Apartment in Rohini","Delhi","Rohini","2","1366","10","13","21","Unfurnished","South","Apartment","Rent","32880","true","","Priya Singh","+91-9765432109"
"Luxurious 4BHK Apartment in Lajpat Nagar","Delhi","Lajpat Nagar","4","1859","20","28","17","Furnished","South-West","Apartment","Rent","106097","","","Rajesh Kumar","+91-9432109876"
"Spacious 3BHK Independent House in Lajpat Nagar","Delhi","Lajpat Nagar","3","1666","9","19","2","Unfurnished","South","Independent House","Buy","28238565","","","Rajesh Kumar","+91-9432109876"
"Luxurious 4BHK Independent House in Preet Vihar","Delhi","Preet Vihar","4","2038","10","25","4","Unfurnished","North-West","Independent House","Buy","24442999","","true","Amit Patel","+91-9654321098"
"Spacious 3BHK Builder Floor in Dwarka","Delhi","Dwarka","3","1511","14","19","16","Unfurnished","South","Builder Floor","Buy","14352720","","","Priya Singh","+91-9765432109"
"Spacious 2BHK Villa in Greater Kailash","Delhi","Greater Kailash","2","1090","17","22","22","Semi-Furnished","West","Villa","Rent","73964","","true","Amit Patel","+91-9654321098"
"Cozy 1BHK Villa in Preet Vihar","Delhi","Preet Vihar","1","558","6","10","13","Unfurnished","South-East","Villa","Buy","6180939","true","","Sunita Verma","+91-9543210987"
"Luxurious 5BHK Builder Floor in Dwarka","Delhi","Dwarka","5","2422","18","22","","Furnished","North-East","Builder Floor","Rent","98633","","","Priya Singh","+91-9765432109"
"Spacious 2BHK Apartment in Paschim Vihar","Delhi","Paschim Vihar","2","743","14","22","15","Furnished","East","Apartment","Rent","44917","true","","Amit Patel","+91-9654321098"
"Spacious 3BHK Studio in Preet Vihar","Delhi","Preet Vihar","3","1168","18","23","21","Furnished","North-West","Studio","Buy","12937822","true","","Priya Singh","+91-9765432109"
"Spacious 3BHK Villa in Preet Vihar","Delhi","Preet Vihar","3","1775","20","23","22","Furnished","South-West","Villa","Rent","70694","true","","Priya Singh","+91-9765432109"
"Spacious 3BHK Villa in Rohini","Delhi","Rohini","3","1053","20","31","2","Furnished","North-East","Villa","Rent","63293","true","","Amit Patel","+91-9654321098"
"Cozy 1BHK Studio in Janakpuri","Delhi","Janakpuri","1","948","17","22","8","Furnished","North","Studio","Rent","22890","true","","Sunita Verma","+91-9543210987"
"Spacious 2BHK Independent House in Uttam Nagar","Delhi","Uttam Nagar","2","1358","17","22","15","Unfurnished","West","Independent House","Buy","10830815","true","true","Rahul Sharma","+91-9876543210"
"Luxurious 4BHK Builder Floor in Mayur Vihar","Delhi","Mayur Vihar","4","1486","7","22","5","Furnished","North-East","Builder Floor","Buy","19705545","true","","Rahul Sharma","+91-9876543210"
"Luxurious 5BHK Apartment in Paschim Vihar","Delhi","Paschim Vihar","5","2208","3","10","10","Semi-Furnished","South-West","Apartment","Buy","24905922","","","Rahul Sharma","+91-9876543210"
"Spacious 2BHK Builder Floor in Janakpuri","Delhi","Janakpuri","2","892","","9","20","Furnished","South","Builder Floor","Buy","8697758","","","Rajesh Kumar","+91-9432109876"
"Cozy 1BHK Apartment in Rohini","Delhi","Rohini","1","845","4","8","9","Furnished","West","Apartment","Rent","20691","","true","Sunita Verma","+91-9543210987"
"Cozy 1BHK Independent House in Vasant Kunj","Delhi","Vasant Kunj","1","950","3","6","21","Unfurnished","West","Independent House","Rent","26151","true","","Sunita Verma","+91-9543210987"
"Spacious 3BHK Independent House in Vasant Kunj","Delhi","Vasant Kunj","3","1383","9","11","20","Semi-Furnished","South-West","Independent House","Rent","83243","true","","Sunita Verma","+91-9543210987"
"Cozy 1BHK Independent House in Preet Vihar","Delhi","Preet Vihar","1","567","3","10","5","Semi-Furnished","North","Independent House","Buy","6996043","","","Amit Patel","+91-9654321098"
"Spacious 2BHK Apartment in Lajpat Nagar","Delhi","Lajpat Nagar","2","1457","11","18","2","Semi-Furnished","East","Apartment","Buy","24434134","","","Amit Patel","+91-9654321098"
"Spacious 2BHK Studio in Vasant Kunj","Delhi","Vasant Kunj","2","1324","3","5","1","Semi-Furnished","West","Studio","Rent","53920","true","","Rahul Sharma","+91-9876543210"
"Spacious 2BHK Builder Floor in Rohini","Delhi","Rohini","2","1280","14","28","","Furnished","North","Builder Floor","Buy","15227077","true","","Rajesh Kumar","+91-9432109876"
